Fecha,Inflaciontotal,IPC_0,Promedio mensual TasaPoliticaMonetaria,TasaDesempleo,TasaOcupacion,Promedio mensual ConsumoFinalReal,Promedio mensual PIB,IPP,Promedio mensual MetaInflacion,Promedio mensual TRM,BaseMonetaria,CuasidinerosTotal,DepositosSistemaFinanciero,M1,M2,M3,Promedio mensual ReservaBancaria,TotalCarteraBrutaTitularizacionMonedaExtranjera,TotalCarteraBrutaTitularizacionMonedaLegal,CreditoConsumoTasaInteres,DTF,Promedio mensual TasaInteresCeroCuponTES,Promedio mensual TasaInteresCeroCuponUVR,TasaInteresColocacionBanRep,Promedio mensual TIB,IPC_1,IPC_2,IPC_Y
2010-07-31,2.241804,72.9218617247213,3.0,12.684421983915,54.6312310825228,131144.413285881,612616.0,88.06,3.0,1874.4112903225807,36935.547187,131268.27108351,178672.00362012,49401.61309868,180669.88418219,202651.39733165,13307.241960708,6195.90791179,152796.347695507,17.89,3.52,3.972408069160925,1.993562987127461,9.38,3.0328147385,72.9526057704129,72.8697575263198,73.0037034548543
2010-08-31,2.311437,73.0037034548543,3.0,11.1618695335786,55.5522853225424,131144.413285881,612616.0,87.63,3.0,1821.2006451612904,37189.728529,131352.02567292,179617.5044875,50387.09350634,181739.11917926,203158.35584852,13704.404897184999,7099.83296501,153963.022016255,17.57,3.5,4.046479269825429,1.907689677395716,9.23,3.0297036723809523,72.9218617247213,72.9526057704129,72.9046120856808
2010-09-30,2.284639,72.9046120856808,3.0,10.5737807138864,56.6529777476856,133186.375706226,612616.0,87.0,3.0,1805.7723333333333,36599.088573,132767.63734934,180146.57107674,50453.71716239,183221.35451173,204310.16911125,13997.50099097,7415.33738397,158799.591287731,17.54,3.47,3.983209238470852,1.5733342610926773,9.18,3.0476049836363632,73.0037034548543,72.9218617247213,72.8403019860168
2010-10-31,2.325073,72.8403019860168,3.0,10.1527591072801,57.3714461802261,133186.375706226,612616.0,87.01,3.0,1808.6070967741935,38233.445231,133909.87978344,183379.71252538,51021.03901147,184930.91879491,207484.93225488,13687.660464862001,8275.43659333,159934.936631729,16.92,3.45,3.9448217558380834,1.846549440533692,9.19,3.0228533445,72.9046120856808,73.0037034548543,72.9816348335803
2010-11-30,2.590983,72.9816348335803,3.0,10.7923956439583,56.8207409261012,133186.375706226,612616.0,89.02,3.0,1862.994,39254.909881,135106.30610754,188810.39657664,53274.9606021,188381.26670964,213543.05895646,14362.08044502,10186.46482489,163268.67424881,16.79,3.44,3.8932664205035534,1.6849664971309666,8.78,3.02473926,72.8403019860168,72.9046120856808,73.4549365063493
2010-12-31,3.171222,73.4549365063493,3.0,11.1200356326183,55.9262546765029,134889.671092313,640151.0,91.31,3.0,1922.3312903225806,44874.97695,133787.46531152,190294.39029006,62090.57350198,195878.0388135,220063.88519745,14733.33698391,10171.09103835,165011.950835955,16.85,3.5,4.2404832051275205,1.453845025011114,8.69,3.0297578439999997,72.9816348335803,72.8403019860168,74.1222343219501
2011-01-31,3.4,74.1222343219501,3.0,13.5561587706944,54.0745791774247,134889.671092313,640151.0,92.46,3.0,1867.0767741935483,42284.713019,135845.25671102,190890.34435818,55963.05187742,191808.30858844,218033.11388252,14854.456575735,10086.11278303,165152.189531254,17.5,3.48,4.425687510468948,0.871664792928564,10.02,3.020243889,73.4549365063493,72.9816348335803,74.5688766367491
2011-02-28,3.167747,74.5688766367491,3.0089285714285716,12.8625237125762,54.4190509838446,134889.671092313,640151.0,93.94,3.0,1882.3714285714286,43534.967043,140921.18317353,194107.20212987,56779.69941576,197700.88258929,220746.99519462,15471.966179625,10487.0982136,168137.0876971,17.53,3.46,4.6159437998170265,1.0503988781758131,10.26,3.046584394,74.1222343219501,73.4549365063493,74.7698834773726
2011-03-31,3.186444,74.7698834773726,3.3306451612903225,10.8680885903786,55.8109483708827,135940.248052515,640151.0,95.53,3.0,1881.8148387096776,40905.794909,143546.68876511,196288.38700914,56762.15658618,200308.84535129,223211.80006037,15295.4179602225,11949.19373414,171156.900169199,17.59,3.59,4.864442367321882,1.6460062726153983,10.64,3.3680446113636364,74.5688766367491,74.1222343219501,74.8589948627723
2011-04-30,2.835952,74.8589948627723,3.5,11.1895183685165,55.7500555765168,135940.248052515,640151.0,96.22,3.0,1809.8339999999998,40406.403826,141537.80672434,194266.07328499,55820.50162176,197358.3083461,220485.06983678,15118.480031722002,11523.59190491,174276.912761032,17.49,3.74,4.8869113513209586,1.9291728972718019,10.73,3.5664051157894736,74.7698834773726,74.5688766367491,75.0722027186682
